tier,trait,pick_rate,avg_place,top4_rate,win_rate,games,score
A,RangedTrait:4,0.38,3.41,77.04,20.0,135,236.76
A,ManaTrait:3,3.74,3.78,63.18,21.16,1328,235.68
A,Mecha:6,1.44,3.81,61.99,30.8,513,234.83
A,SonaUniqueTrait:1,19.29,3.97,60.36,15.66,6854,230.46
A,MeleeTrait:6,0.81,3.52,70.24,15.22,289,228.44
A,MorganaUniqueTrait:1,22.68,4.04,58.73,17.53,8059,228.2
A,RangedTrait:3,1.7,3.9,60.93,19.87,604,227.93
A,DarkStar:6,6.01,3.97,60.93,15.77,2137,225.34
A,FioraUniqueTrait:1,15.08,4.06,57.93,20.21,5358,224.45
A,SpaceGroove:1,31.64,4.18,55.47,16.35,11243,223.57
A,HPTank:6,2.02,4.0,60.31,16.3,718,222.16
A,ShieldTank:2,33.3,4.22,54.71,16.9,11835,222.11
A,VexUniqueTrait:1,12.17,4.1,56.43,20.7,4324,220.94
A,DarkStar:2,29.43,4.21,55.3,14.89,10460,220.84
A,ASTrait:4,1.24,3.88,65.38,10.41,442,218.19
A,ManaTrait:2,18.79,4.2,55.14,15.41,6679,217.14
A,ResistTank:2,40.51,4.36,51.98,14.88,14397,216.77
A,FlexTrait:3,6.39,4.15,56.67,14.93,2271,215.04
B,FlexTrait:2,29.22,4.31,53.54,13.66,10386,214.98
B,ManaTrait:4,0.28,3.43,72.73,21.21,99,214.67
B,MeleeTrait:2,17.33,4.24,54.46,16.61,6160,214.59
B,RangedTrait:2,12.23,4.23,54.25,17.1,4345,213.09
B,Mecha:4,3.03,4.18,56.78,19.05,1076,213.06
B,ShieldTank:4,13.48,4.24,54.52,13.49,4789,212.45
B,SummonTrait:3,18.68,4.3,53.16,13.6,6640,211.14
B,ResistTank:4,1.9,4.19,57.72,12.02,674,210.98
B,GravesTrait:1,12.02,4.29,52.98,20.59,4273,210.32
B,FlexTrait:4,1.01,4.03,60.72,14.76,359,210.07
B,BlitzcrankUniqueTrait:2,0.15,3.58,88.68,5.66,53,208.8
B,HPTank:2,35.72,4.47,50.46,12.73,12693,208.47
B,PsyOps:2,11.32,4.3,54.93,11.81,4023,208.37
B,DRX:5,3.19,4.29,55.92,10.87,1132,205.73
B,TahmKenchUniqueTrait:1,29.25,4.48,50.29,14.08,10394,205.6
B,PsyOps:4,1.62,4.32,53.74,8.87,575,202.54
B,DRX:2,24.05,4.53,49.04,13.21,8548,200.47
B,ASTrait:3,4.31,4.38,53.16,7.89,1533,200.25
B,DRX:3,8.03,4.42,52.23,9.6,2853,199.8
B,ShieldTank:6,0.88,4.21,57.19,12.14,313,199.44
B,APTrait:2,23.27,4.54,48.76,12.23,8269,199.38
B,Timebreaker:4,1.54,4.41,53.38,14.26,547,198.98
B,Fateweaver:4,0.61,4.03,60.19,8.8,216,198.56
B,AssassinTrait:2,12.9,4.51,49.77,11.1,4585,196.81
B,Timebreaker:2,15.82,4.54,49.02,10.74,5622,196.18
B,Astronaut:5,7.99,4.48,49.96,9.8,2838,196.14
B,SpaceGroove:5,8.84,4.52,49.08,13.22,3140,194.9
B,AssassinTrait:3,1.76,4.46,50.8,9.58,626,194.86
B,Primordian:3,4.53,4.48,51.49,7.76,1610,194.81
B,MeleeTrait:4,5.9,4.53,50.57,8.91,2098,192.81
B,ZedUniqueTrait:1,0.44,4.17,57.05,16.67,156,192.12
B,Primordian:2,2.41,4.53,50.99,6.77,857,191.12
B,HPTank:4,7.7,4.58,49.16,9.58,2736,190.74
B,ShieldTank:5,0.41,4.17,53.79,14.48,145,190.7
B,ResistTank:3,1.36,4.39,51.87,16.6,482,189.93
C,AssassinTrait:4,0.18,3.88,68.75,12.5,64,189.2
C,FlexTrait:5,0.34,4.24,52.07,12.4,121,186.24
C,Serpent:3,2.03,4.62,46.74,11.93,721,186.22
C,SpaceGroove:2,2.36,4.64,49.34,7.99,839,185.34
C,MissFortuneUniqueTrait:1,2.8,4.64,48.39,7.14,994,185.07
C,Medallion:3,1.86,4.64,45.91,12.27,660,184.97
C,Wolf:3,1.1,4.51,48.72,13.85,390,182.33
C,SummonTrait:5,3.63,4.69,46.09,7.05,1291,182.19
C,Fateweaver:2,9.01,4.74,45.55,7.46,3203,181.76
C,Mountain:1,0.17,4.03,62.3,14.75,61,180.21
C,ASTrait:2,10.12,4.8,44.99,7.37,3596,179.02
C,Astronaut:3,1.64,4.74,45.38,8.56,584,178.98
C,Shield:3,1.56,4.75,44.42,10.25,556,178.5
C,APTrait:4,0.36,4.47,57.36,10.85,129,176.02
C,ADMIN:2,4.89,4.85,43.75,6.22,1737,173.83
C,Empress:2,0.21,4.12,57.89,10.53,76,173.56
C,ShieldTank:3,1.76,4.88,43.13,10.54,626,171.75
C,ElTigre:1,0.17,4.18,52.46,16.39,61,170.08
C,Huntress:3,0.85,4.74,44.04,8.28,302,168.21
C,DragonFist:1,0.15,4.2,50.91,12.73,55,167.88
C,Fountain:3,1.25,4.75,44.14,7.66,444,167.77
C,Timebreaker:3,1.24,4.8,43.31,11.34,441,165.76
C,Ixtal:2,0.26,4.29,48.94,26.6,94,165.61
C,SpaceGroove:6,0.39,4.62,42.14,12.14,140,164.23
C,SummonTrait:6,0.19,4.32,60.87,5.8,69,163.5
C,Astronaut:7,2.93,5.05,39.04,10.58,1040,162.5
C,HighRoller:2,0.15,4.3,52.83,7.55,53,162.42
C,OldMentor:1,0.23,4.34,52.5,11.25,80,161.09
C,HighRoller:1,0.18,4.35,50.79,15.87,63,160.98
C,DarkStar:3,1.37,4.88,39.84,9.65,487,160.43
C,Serpent:5,0.15,4.38,50.91,20.0,55,160.33
C,Yordle:2,0.18,4.41,53.12,14.06,64,158.32
C,Conqueror:1,0.16,4.43,53.45,5.17,58,155.63
C,ADMIN:3,1.39,5.04,38.54,8.11,493,151.74
C,SpaceGroove:3,0.86,5.09,39.34,6.56,305,148.96
C,SummonTrait:4,0.59,4.94,41.35,8.17,208,147.27
D,DRX:4,0.63,4.96,44.2,7.59,224,147.03
D,Wolf:4,0.25,4.61,49.44,12.36,89,146.9
D,Pentakill:1,0.17,4.62,50.0,11.67,60,146.4
D,DarkStar:4,1.8,5.32,33.85,6.71,641,146.22
D,Primordian:4,0.17,4.63,53.23,4.84,62,145.5
D,Astronaut:6,0.37,5.04,46.15,6.15,130,143.22
D,Mecha:3,0.74,5.05,40.68,13.69,263,142.74
D,PsyOps:3,0.35,5.04,37.6,4.0,125,140.22
D,Conqueror:2,0.21,4.77,45.95,8.11,74,136.99
D,Shimmerscale:1,0.24,4.82,47.06,12.94,85,135.8
D,Mountain:6,0.99,5.31,32.39,4.26,352,135.47
D,Bastion:2,0.16,4.86,49.12,7.02,57,133.2
D,HPTank:3,0.82,5.26,35.52,7.93,290,129.57
D,MeleeTrait:5,0.27,4.89,42.27,5.15,97,129.32
D,Elderwood:1,0.14,5.02,46.0,14.0,50,125.66
D,Astronaut:4,0.25,5.17,37.5,5.68,88,113.99
D,MeleeTrait:3,0.82,5.56,29.31,4.14,290,111.95
D,DarkStar:5,0.53,5.99,21.16,1.06,189,87.27
D,Mountain:5,0.45,6.23,19.25,6.21,161,75.7
D,AnimaSquad:3,1.13,6.43,18.61,5.46,403,75.63
D,HPTank:5,0.26,5.84,21.51,4.3,93,75.42
D,Mountain:4,0.17,5.9,22.03,5.08,59,72.69
D,SpaceGroove:4,0.19,6.13,19.4,2.99,67,59.99
S,Astronaut:10,0.31,1.68,95.45,70.91,110,338.94
S,Mountain:8,0.55,2.55,89.8,35.71,196,286.8
S,SpaceGroove:7,2.89,3.61,66.25,21.98,1028,244.93
S,BlitzcrankUniqueTrait:1,34.78,3.91,60.77,19.17,12361,240.48
S,Mountain:7,1.02,3.52,69.81,21.05,361,239.56
S,ASTrait:5,0.38,3.35,76.3,11.11,135,237.76
