tier,unit,pick_rate,avg_place,top4_rate,win_rate,games,score
A,Bard,20.74,3.81,63.04,19.15,7370,240.54
A,Sona,19.68,3.95,60.86,15.55,6995,231.74
A,Morgana,23.04,4.04,58.87,17.4,8189,228.36
A,Fiora,15.7,4.06,58.43,19.92,5581,224.79
A,Karma,32.22,4.19,55.98,14.92,11452,223.17
A,Vex,12.52,4.09,56.97,20.46,4448,221.69
A,Nunu,32.47,4.37,51.82,15.14,11538,213.06
A,Mordekaiser,31.62,4.39,51.94,13.53,11237,211.44
A,Galio,17.71,4.3,54.09,14.5,6295,211.21
B,Graves,12.34,4.28,53.41,20.39,4385,211.04
B,Nami,14.49,4.34,52.95,14.25,5150,207.53
B,Ornn,18.01,4.38,51.52,14.9,6402,206.64
B,TahmKench,29.67,4.47,50.57,14.01,10546,206.34
B,Kindred,14.38,4.37,54.35,8.67,5111,205.29
B,Viktor,2.82,4.31,53.45,12.79,1001,204.22
B,Akali,18.58,4.44,51.43,13.1,6603,203.48
B,AurelionSol,10.2,4.42,51.42,16.0,3625,201.71
B,Samira,12.07,4.44,50.07,15.65,4288,200.98
B,Maokai,30.61,4.57,49.17,10.42,10878,200.58
B,Aatrox,24.6,4.54,49.06,13.66,8741,200.29
B,Pyke,4.63,4.39,52.25,10.63,1646,200.15
B,Gwen,11.6,4.45,50.55,12.91,4121,199.89
B,Urgot,12.47,4.48,50.77,12.97,4432,198.81
B,Riven,13.73,4.49,50.55,11.31,4880,198.42
B,Xayah,8.5,4.47,50.13,14.8,3020,197.9
B,Illaoi,23.82,4.57,48.44,10.58,8466,197.68
B,Chogath,10.25,4.5,50.43,12.88,3641,196.8
C,Nasus,11.19,4.51,48.73,13.58,3977,196.31
C,Pantheon,20.32,4.58,48.59,11.8,7222,196.06
C,Zed,0.46,4.13,58.18,17.58,165,194.65
C,MasterYi,8.26,4.52,50.83,8.78,2937,194.31
C,Rammus,15.77,4.59,48.07,11.02,5606,193.43
C,Belveth,14.79,4.58,49.72,7.65,5255,193.36
C,RekSai,7.25,4.53,50.95,7.88,2575,193.26
C,Kaisa,6.96,4.54,49.78,11.73,2473,193.06
C,Gragas,9.47,4.57,49.51,9.06,3365,191.95
C,Lissandra,18.38,4.64,47.16,10.67,6533,191.63
C,Jax,12.81,4.64,46.78,11.45,4551,189.45
C,Veigar,6.31,4.61,46.5,14.77,2241,188.93
C,Teemo,4.49,4.61,47.59,10.58,1597,187.69
C,Poppy,11.97,4.71,45.61,10.72,4253,185.12
C,Leona,8.37,4.69,46.59,8.71,2973,184.57
C,MissFortune,2.82,4.65,48.26,7.08,1003,184.52
C,Ezreal,3.54,4.7,46.74,13.35,1258,183.11
C,Corki,8.8,4.72,45.4,9.37,3128,183.01
C,Talon,1.78,4.68,46.6,8.21,633,182.33
D,Milio,10.05,4.74,45.6,7.84,3570,182.27
D,Caitlyn,3.33,4.71,47.42,7.35,1183,181.53
D,Jinx,7.19,4.76,47.42,7.28,2554,180.56
D,Lulu,4.84,4.74,45.32,9.19,1719,180.37
D,TwistedFate,5.22,4.74,45.36,8.36,1854,180.37
D,Gnar,4.5,4.76,44.62,11.76,1598,179.54
D,Leblanc,8.71,4.78,44.66,6.91,3097,179.26
D,Zoe,1.87,4.82,43.39,9.01,666,174.57
D,Briar,5.08,4.92,44.05,6.42,1807,170.53
D,Diana,2.31,4.91,43.92,5.47,822,169.69
D,Fizz,6.98,4.95,41.03,8.75,2481,169.35
D,Aurora,1.78,5.71,29.38,7.74,633,125.57
S,Jhin,17.56,3.73,64.73,20.11,6241,243.96
S,Blitzcrank,35.75,3.89,61.28,19.16,12705,242.02
S,Shen,19.17,3.79,63.24,21.1,6814,241.36
S,Rhaast,25.59,3.83,63.23,18.14,9094,241.33
